Measure|Limit|MeasureGroup
2,3-Dichlorobiphenyl|.0005 mg/L|PCBs
2,4',5-Trichlorobiphenyl|.0005 mg/L|PCBs
2,4'-Dichlorobiphenyl|.0005 mg/L|PCBs
2,4,4',5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,4,4'-Trichlorobiphenyl|.0005 mg/L|PCBs
2,4,5-Trichlorobiphenyl|.0005 mg/L|PCBs
2,4-D|.07 mg/L|2,4-D 
2,4-Dichlorobiphenyl|.0005 mg/L|PCBs
2,5-Dichlorobiphenyl|.0005 mg/L|PCBs
2,6-Dichlorobiphenyl|.0005 mg/L|PCBs
2-Chlorobiphenyl|.0005 mg/L|PCBs
3,3',4,4',5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
3,3',4,4',5-Pentachlorobiphenyl|.0005 mg/L|PCBs
3,3',4,4'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
3,3',4,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
3,3',4-Trichlorobiphenyl|.0005 mg/L|PCBs
3,3',5,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
3,3',5-Trichlorobiphenyl|.0005 mg/L|PCBs
3,3'-Dichlorobenzidine|.0005 mg/L|PCBs
3,3'-Dichlorobiphenyl|.0005 mg/L|PCBs
3,4',5-Trichlorobiphenyl|.0005 mg/L|PCBs
3,4,4',5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
3,4,4'-Trichlorobiphenyl|.0005 mg/L|PCBs
3,4,5-Trichlorobiphenyl|.0005 mg/L|PCBs
3,5-Dichlorobiphenyl|.0005 mg/L|PCBs
3-Chlorobiphenyl|.0005 mg/L|PCBs
4,4'-Dichlorobiphenyl|.0005 mg/L|PCBs
4-Chlorobiphenyl|.0005 mg/L|PCBs
Alachlor|.0002 mg/L|Alachlor 
Antimony|.006 mg/L|Antimony 
Aroclor (unspecified)|.0005 mg/L|PCBs
Aroclor 1016|.0005 mg/L|PCBs
Aroclor 1016 mixt. with Aroclor 1242|.0005 mg/L|PCBs
Aroclor 1221|.0005 mg/L|PCBs
Aroclor 1232|.0005 mg/L|PCBs
Aroclor 1242|.0005 mg/L|PCBs
Aroclor 1248|.0005 mg/L|PCBs
Aroclor 1254|.0005 mg/L|PCBs
Aroclor 1260|.0005 mg/L|PCBs
Arsenic|.010 mg/L|Arsenic 
Asbestos|7 million fibers per liter|Asbestos 
Atrazine|.0003 mg/L|Atrazine
Atrazine-d5 (ethyl-d5)|.0003 mg/L|Atrazine
Barium|2 mg/L|Barium 
Benzene|.005 mg/L|Benzene
Benzene, (1-ethyldecyl)-|.005 mg/L|Benzene
Benzene, 1,1'-oxybis[2,4-dibromo-|.005 mg/L|Benzene
Benzene, 1,1-oxybis[3,4-dibromo-|.005 mg/L|Benzene
Benzene, 1,2,3,4,5-pentabromo-6-(2,3,4,5-tetrabromophenoxy)-***retired***use Nonabromophenoxybenzene|.005 mg/L|Benzene
Benzene, 1,2,3,4,5-pentabromo-6-(2,3,5,6-tetrabromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,2,3,4,5-pentabromo-6-(2,4-dibromophenoxy)-***retired***use 2,2',3,4,4',5,6-Heptabromodiphenyl ether|.005 mg/L|Benzene
Benzene, 1,2,3,4,5-pentabromo-6-(3,4-dibromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)-***retired***use 2,2',3,4,4',5',6-Heptabromodiphenyl ether|.005 mg/L|Benzene
Benzene, 1,2,3-tribromo-4-(2,3,4-tribromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,2,3-tribromo-5-(3,4-dibromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,2,4-tribromo-5-(2,4-dibromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,2-dibromo-4-(2,4-dibromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,2-dibromo-4-(3,5-dibromophenoxy)-|.005 mg/L|Benzene
Benzene, 1,3(and 1,4)-dimethyl- Chemical m(and p)-xylene|.005 mg/L|Benzene
